year,country,title,rating,genre
2011,USA,New Year&#39;s Eve,3,"Comedy, Romance"
2011,USA,No Strings Attached,3,"Comedy, Romance"
2011,USA,October Baby,3,Drama
2011,USA,Our Idiot Brother,3,"Comedy, Drama"
2011,USA,Paranormal Activity 3,3,Horror
2011,"USA, UK",Paul,3,"Adventure, Comedy, Sci-Fi"
2011,USA,Pirates of the Caribbean: On Stranger Tides,1,"Action, Adventure, Fantasy"
2011,USA,Priest,1,"Action, Fantasy, Horror"
2011,USA,Puss in Boots,1,"Animation, Adventure, Comedy"
2011,USA,Rango,1,"Animation, Adventure, Comedy"
2011,"USA, India",Real Steel,1,"Action, Drama, Sci-Fi"
2011,"USA, Canada",Red Riding Hood,3,"Fantasy, Horror, Mystery"
2011,USA,Red State,3,"Action, Horror, Thriller"
2011,USA,Restless,3,"Drama, Romance"
2011,USA,Rio,1,"Animation, Adventure, Comedy"
2011,USA,Rise of the Planet of the Apes,1,"Action, Drama, Sci-Fi"
2011,UK,Shame,1,Drama
2011,"China, USA",Snow Flower and the Secret Fan,3,"Drama, History"
2011,USA,Soul Surfer,3,"Biography, Drama, Sport"
2011,"USA, Canada",Source Code,1,"Mystery, Sci-Fi, Thriller"
2011,USA,Straw Dogs,3,Thriller
2011,"USA, Canada",Sucker Punch,3,"Action, Fantasy, Thriller"
2011,USA,Super 8,3,"Mystery, Sci-Fi, Thriller"
2011,USA,Take Shelter,3,"Drama, Thriller"
2011,USA,"Adjustment Bureau, The",3,"Fantasy, Romance, Thriller"
2011,"USA, New Zealand","Adventures of Tintin, The",1,"Animation, Action, Adventure"
2011,"France, Belgium, USA","Artist, The",1,"Comedy, Drama, Romance"
2011,"UK, USA, United Arab Emirates","Best Exotic Marigold Hotel, The",3,"Comedy, Drama"
2011,USA,"Cabin in the Woods, The",3,"Horror, Mystery, Thriller"
2011,USA,"Darkest Hour, The",3,"Action, Horror, Sci-Fi"
2011,"Germany, USA, Canada","Divide, The",3,"Drama, Sci-Fi, Thriller"
2011,"Germany, USA","Future, The",3,"Comedy, Drama, Sci-Fi"
2011,"USA, Sweden, Norway","Girl with the Dragon Tattoo, The",1,"Crime, Drama, Mystery"
2011,USA,"Green Hornet, The",1,"Action, Comedy, Crime"
2011,Ireland,"Guard, The",1,"Comedy, Crime, Thriller"
2011,"USA, India, United Arab Emirates","Help, The",3,Drama
2011,"UK, France","Iron Lady, The",3,"Biography, Drama, History"
2011,USA,"Lincoln Lawyer, The",1,"Crime, Drama, Thriller"
2011,USA,"Mechanic, The",0,"Action, Crime, Thriller"
2011,USA,"Muppets, The",1,"Comedy, Family, Musical"
2011,"USA, Hungary, Italy","Rite, The",3,"Drama, Horror, Thriller"
2011,USA,"Roommate, The",3,"Drama, Horror, Thriller"
2011,USA,"Smurfs, The",3,"Animation, Adventure, Comedy"
2011,"Germany, France, UK, USA","Three Musketeers, The",2,"Action, Adventure, Romance"
2011,USA,"Tree of Life, The",0,"Drama, Fantasy"
2011,USA,"Twilight Saga: Breaking Dawn - Part 1, The",3,"Adventure, Drama, Fantasy"
2011,USA,Thor,3,"Action, Adventure, Fantasy"
2011,"France, UK, Germany",Tinker Tailor Soldier Spy,1,"Drama, Mystery, Thriller"
2011,USA,Tower Heist,1,"Action, Comedy, Crime"
2011,USA,Transformers: Dark of the Moon,3,"Action, Adventure, Sci-Fi"
2011,USA,War Horse,1,"Drama, War"
2011,USA,Warrior,1,"Drama, Sport"
2011,USA,We Bought a Zoo,2,"Drama, Family"
2011,UK,Weekend,1,"Drama, Romance"
2011,USA,What&#39;s Your Number,3,"Comedy, Romance"
2011,USA,Winnie the Pooh,0,"Animation, Adventure, Comedy"
2011,"USA, UK",X-Men: First Class,3,"Action, Adventure, Sci-Fi"
2011,USA,Young Adult,3,"Comedy, Drama"
2011,USA,Your Sister&#39;s Sister,3,"Comedy, Drama"
2010,"USA, UK",127 Hours,3,"Adventure, Biography, Drama"
2010,USA,Alice in Wonderland,3,"Adventure, Family, Fantasy"
2010,Australia,Animal Kingdom,1,"Crime, Drama, Thriller"
2010,UK,Another Year,3,"Comedy, Drama"
2010,"Canada, Italy",Barney&#39;s Version,3,"Comedy, Drama"
2010,USA,Beginners,1,"Comedy, Drama, Romance"
2010,"Mexico, Spain",Biutiful,1,Drama
2010,USA,Black Swan,3,"Drama, Mystery, Thriller"
2010,USA,Blue Valentine,2,"Drama, Romance"
2010,USA,Burlesque,3,"Drama, Musical, Romance"
2010,Canada,Casino Jack,1,"Biography, Comedy, Crime"
2010,"UK, France",Centurion,1,"Action, Adventure, Drama"
2010,"USA, Canada",Charlie St. Cloud,1,"Drama, Fantasy, Romance"
2010,USA,Clash of the Titans,3,"Action, Adventure, Fantasy"
2010,USA,Conviction,3,"Biography, Drama"
